"epochNums","epochDates","epochDays"
208,"Wed Apr 28 10:25:00 2004",12536.7256944444
209,"Wed Apr 28 10:30:00 2004",12536.7291666667
210,"Wed Apr 28 10:35:00 2004",12536.7326388889
211,"Wed Apr 28 10:40:00 2004",12536.7361111111
212,"Wed Apr 28 10:45:00 2004",12536.7395833333
213,"Wed Apr 28 10:50:00 2004",12536.7430555556
214,"Wed Apr 28 10:55:00 2004",12536.7465277778
215,"Wed Apr 28 11:00:00 2004",12536.75
216,"Wed Apr 28 11:05:00 2004",12536.7534722222
217,"Wed Apr 28 11:10:00 2004",12536.7569444444
218,"Wed Apr 28 11:15:00 2004",12536.7604166667
219,"Wed Apr 28 11:20:00 2004",12536.7638888889
220,"Wed Apr 28 11:25:00 2004",12536.7673611111
221,"Wed Apr 28 11:30:00 2004",12536.7708333333
222,"Wed Apr 28 11:35:00 2004",12536.7743055556
223,"Wed Apr 28 11:40:00 2004",12536.7777777778
224,"Wed Apr 28 11:45:00 2004",12536.78125
225,"Wed Apr 28 11:50:00 2004",12536.7847222222
226,"Wed Apr 28 11:55:00 2004",12536.7881944444
227,"Wed Apr 28 12:00:00 2004",12536.7916666667
228,"Wed Apr 28 12:05:00 2004",12536.7951388889
229,"Wed Apr 28 12:10:00 2004",12536.7986111111
230,"Wed Apr 28 12:15:00 2004",12536.8020833333
231,"Wed Apr 28 12:20:00 2004",12536.8055555556
232,"Wed Apr 28 12:25:00 2004",12536.8090277778
233,"Wed Apr 28 12:30:00 2004",12536.8125
234,"Wed Apr 28 12:35:00 2004",12536.8159722222
235,"Wed Apr 28 12:40:00 2004",12536.8194444444
236,"Wed Apr 28 12:45:00 2004",12536.8229166667
237,"Wed Apr 28 12:50:00 2004",12536.8263888889
238,"Wed Apr 28 12:55:00 2004",12536.8298611111
239,"Wed Apr 28 13:00:00 2004",12536.8333333333
240,"Wed Apr 28 13:05:00 2004",12536.8368055556
241,"Wed Apr 28 13:10:00 2004",12536.8402777778
242,"Wed Apr 28 13:15:00 2004",12536.84375
243,"Wed Apr 28 13:20:00 2004",12536.8472222222
